name	type	units	sampling_frequency	high_cutoff	low_cutoff	status	serial_number	sensor_card_serial	position	bx_field	by_field	bz_field
s4_bz	MEGMAG	T	5000	500	0	n/a	0U7XYP	0xb300000078213c3b	n/a	12.73	-6.24	-0.72
s6_bz	MEGMAG	T	5000	500	0	n/a	0U7XSF	0xf0000000781b803b	n/a	17.26	-1.26	4.20
s70_bz	MEGMAG	T	5000	500	0	n/a	22O4UY	0x0b000000781c523b	n/a	-2.01	-2.93	0.73
s71_bz	MEGMAG	T	5000	500	0	n/a	22O57C	0x0b000000781c523b	n/a	9.17	0.98	1.11
s72_bz	MEGMAG	T	5000	500	0	n/a	22O55U	0x0b000000781c523b	n/a	12.17	-3.57	-1.61
s73_bz	MEGMAG	T	5000	500	0	n/a	22O582	0x80000000781e1e3b	n/a	7.84	3.85	-1.52
s74_bz	MEGMAG	T	5000	500	0	n/a	22O52O	0x80000000781e1e3b	n/a	13.72	4.36	2.50
s11_bz	MEGMAG	T	5000	500	0	n/a	22O4ZZ	0x06000000781f963b	n/a	9.81	0.12	-6.97
s75_bz	MEGMAG	T	5000	500	0	n/a	0U7Y2M	0x80000000781e1e3b	n/a	13.40	2.59	0.58
s12_bz	MEGMAG	T	5000	500	0	n/a	0U7ZKN	0x06000000781f963b	n/a	18.18	-3.67	0.44
s76_bz	MEGMAG	T	5000	500	0	n/a	0U7X55	0x80000000781e1e3b	n/a	15.66	8.70	-0.55
s13_bz	MEGMAG	T	5000	500	0	n/a	0U7WT0	0x6c000000781bd63b	n/a	2.57	4.09	3.73
s77_bz	MEGMAG	T	5000	500	0	n/a	0U7YBU	0x9a000000781ceb3b	n/a	-10.94	0.81	-0.42
s14_bz	MEGMAG	T	5000	500	0	n/a	0U7V4K	0x6c000000781bd63b	n/a	-20.47	-4.12	3.01
s78_bz	MEGMAG	T	5000	500	0	n/a	22O56B	0x9a000000781ceb3b	n/a	20.49	6.74	4.56
s79_bz	MEGMAG	T	5000	500	0	n/a	0U7XKG	0x9a000000781ceb3b	n/a	11.61	-0.39	3.80
s16_bz	MEGMAG	T	5000	500	0	n/a	0U7YBW	0x6c000000781bd63b	n/a	5.47	0.53	-0.11
