name	type	units	sampling_frequency	high_cutoff	low_cutoff	status	serial_number	sensor_card_serial	position	bx_field	by_field	bz_field
s4_bz	MEGMAG	T	5000	500	0	n/a	0U7XYP	0xb300000078213c3b	n/a	8.91	-13.97	-1.08
s6_bz	MEGMAG	T	5000	500	0	n/a	0U7XSF	0xf0000000781b803b	n/a	15.30	-8.23	5.27
s70_bz	MEGMAG	T	5000	500	0	n/a	22O4UY	0x0b000000781c523b	n/a	1.55	4.76	2.85
s71_bz	MEGMAG	T	5000	500	0	n/a	22O57C	0x0b000000781c523b	n/a	7.94	-7.04	-1.53
s72_bz	MEGMAG	T	5000	500	0	n/a	22O55U	0x0b000000781c523b	n/a	8.82	4.30	-1.02
s73_bz	MEGMAG	T	5000	500	0	n/a	22O582	0x80000000781e1e3b	n/a	10.59	-2.61	-6.42
s74_bz	MEGMAG	T	5000	500	0	n/a	22O52O	0x80000000781e1e3b	n/a	10.66	-3.88	1.73
s11_bz	MEGMAG	T	5000	500	0	n/a	22O4ZZ	0x06000000781f963b	n/a	9.29	-4.07	-14.44
s75_bz	MEGMAG	T	5000	500	0	n/a	0U7Y2M	0x80000000781e1e3b	n/a	16.34	-4.19	-3.95
s12_bz	MEGMAG	T	5000	500	0	n/a	0U7ZKN	0x06000000781f963b	n/a	24.80	-4.34	-4.45
s76_bz	MEGMAG	T	5000	500	0	n/a	0U7X55	0x80000000781e1e3b	n/a	9.82	9.72	5.69
s13_bz	MEGMAG	T	5000	500	0	n/a	0U7WT0	0x6c000000781bd63b	n/a	-5.28	5.65	0.94
s77_bz	MEGMAG	T	5000	500	0	n/a	0U7YBU	0x9a000000781ceb3b	n/a	-13.77	9.12	-1.68
s14_bz	MEGMAG	T	5000	500	0	n/a	0U7V4K	0x6c000000781bd63b	n/a	-20.61	-6.37	-4.91
s78_bz	MEGMAG	T	5000	500	0	n/a	22O56B	0x9a000000781ceb3b	n/a	20.76	15.04	1.63
s79_bz	MEGMAG	T	5000	500	0	n/a	0U7XKG	0x9a000000781ceb3b	n/a	19.77	-0.62	4.55
s16_bz	MEGMAG	T	5000	500	0	n/a	0U7YBW	0x6c000000781bd63b	n/a	11.29	-7.09	2.53
s80_bz	MEGMAG	T	5000	500	0	n/a	22O560	0x9a000000781ceb3b	n/a	18.61	5.53	-1.47
di32	TRIG	n/a	5000	2500	0	n/a	n/a	0xb300000078213c3b	n/a	n/a	n/a	n/a
s17_bz	MEGMAG	T	5000	500	0	n/a	0U7ZXM	0x00000000781fa33b	n/a	24.23	14.31	2.99
s81_bz	MEGMAG	T	5000	500	0	n/a	0U7XXG	0xdf00000078212d3b	n/a	24.12	-4.30	0.96
s18_bz	MEGMAG	T	5000	500	0	n/a	0U7UUI	0x00000000781fa33b	n/a	-11.31	10.22	-0.97
s82_bz	MEGMAG	T	5000	500	0	n/a	22O4Z3	0xdf00000078212d3b	n/a	20.03	2.21	-3.84
s19_bz	MEGMAG	T	5000	500	0	n/a	0U7Y32	0x00000000781fa33b	n/a	-14.91	9.54	-0.77
s83_bz	MEGMAG	T	5000	500	0	n/a	22O4YV	0xdf00000078212d3b	n/a	18.14	1.76	1.98
s84_bz	MEGMAG	T	5000	500	0	n/a	0U7ZF7	0xdf00000078212d3b	n/a	14.00	-2.83	-1.44
s85_bz	MEGMAG	T	5000	500	0	n/a	0U7XF1	0x45000000781e4b3b	n/a	14.91	9.44	2.65
s22_bz	MEGMAG	T	5000	500	0	n/a	0U7V31	0x330000007821983b	n/a	5.46	-3.43	-5.11
s86_bz	MEGMAG	T	5000	500	0	n/a	22O52I	0x45000000781e4b3b	n/a	11.04	5.52	-4.61
s87_bz	MEGMAG	T	5000	500	0	n/a	22O54X	0x45000000781e4b3b	n/a	9.21	0.46	-4.95
s24_bz	MEGMAG	T	5000	500	0	n/a	0U7ZHJ	0x330000007821983b	n/a	-19.98	5.09	-4.35
s88_bz	MEGMAG	T	5000	500	0	n/a	0U7WD6	0x45000000781e4b3b	n/a	18.53	10.91	0.66
s27_bz	MEGMAG	T	5000	500	0	n/a	0U7YOL	0xff000000781e013b	n/a	-15.98	5.22	1.69
s28_bz	MEGMAG	T	5000	500	0	n/a	0U7XEM	0xff000000781e013b	n/a	-7.15	2.39	-6.95
s36_bz	MEGMAG	T	5000	500	0	n/a	0U7T3R	0x04000000781db73b	n/a	-11.58	-0.06	-11.55
s37_bz	MEGMAG	T	5000	500	0	n/a	0U7XSE	0xa30000007820bd3b	n/a	10.68	6.34	5.56
s41_bz	MEGMAG	T	5000	500	0	n/a	0U7TGS	0xab000000781b903b	n/a	-16.11	6.98	-2.45
s42_bz	MEGMAG	T	5000	500	0	n/a	22O53B	0xab000000781b903b	n/a	1.48	7.35	-0.22
s43_bz	MEGMAG	T	5000	500	0	n/a	0U7U72	0xab000000781b903b	n/a	20.97	2.55	7.25
s44_bz	MEGMAG	T	5000	500	0	n/a	0U7U9L	0xab000000781b903b	n/a	17.34	10.33	2.17
s45_bz	MEGMAG	T	5000	500	0	n/a	0U7XNW	0xca00000078200f3b	n/a	20.72	2.76	9.58
s46_bz	MEGMAG	T	5000	500	0	n/a	22O575	0xca00000078200f3b	n/a	15.03	4.02	6.37
s47_bz	MEGMAG	T	5000	500	0	n/a	22O4ZQ	0xca00000078200f3b	n/a	26.95	9.19	11.14
s48_bz	MEGMAG	T	5000	500	0	n/a	0U7XBJ	0xca00000078200f3b	n/a	-20.35	-3.29	-3.63
s50_bz	MEGMAG	T	5000	500	0	n/a	0U7XY4	0xd9000000781d363b	n/a	14.35	5.94	9.35
s51_bz	MEGMAG	T	5000	500	0	n/a	0U7VIB	0xd9000000781d363b	n/a	18.54	7.38	7.80
s52_bz	MEGMAG	T	5000	500	0	n/a	0U7Z77	0xd9000000781d363b	n/a	6.82	5.59	7.55
