name	type	units	sampling_frequency	high_cutoff	low_cutoff	status	serial_number	sensor_card_serial	position	bx_field	by_field	bz_field
s4_bz	MEGMAG	T	5000	500	0	n/a	0U7XYP	0xb300000078213c3b	n/a	9.75	-13.18	-0.99
s6_bz	MEGMAG	T	5000	500	0	n/a	0U7XSF	0xf0000000781b803b	n/a	0.00	-7.22	5.20
s70_bz	MEGMAG	T	5000	500	0	n/a	22O4UY	0x0b000000781c523b	n/a	0.97	4.19	2.99
s71_bz	MEGMAG	T	5000	500	0	n/a	22O57C	0x0b000000781c523b	n/a	8.69	-6.26	-0.98
s72_bz	MEGMAG	T	5000	500	0	n/a	22O55U	0x0b000000781c523b	n/a	9.41	3.80	-0.90
s73_bz	MEGMAG	T	5000	500	0	n/a	22O582	0x80000000781e1e3b	n/a	9.80	-2.43	-6.02
s74_bz	MEGMAG	T	5000	500	0	n/a	22O52O	0x80000000781e1e3b	n/a	11.13	-3.44	1.87
s11_bz	MEGMAG	T	5000	500	0	n/a	22O4ZZ	0x06000000781f963b	n/a	9.34	-3.27	-13.64
s75_bz	MEGMAG	T	5000	500	0	n/a	0U7Y2M	0x80000000781e1e3b	n/a	15.43	-3.90	-3.69
s12_bz	MEGMAG	T	5000	500	0	n/a	0U7ZKN	0x06000000781f963b	n/a	24.17	-4.32	-3.57
s76_bz	MEGMAG	T	5000	500	0	n/a	0U7X55	0x80000000781e1e3b	n/a	10.38	9.36	5.17
s13_bz	MEGMAG	T	5000	500	0	n/a	0U7WT0	0x6c000000781bd63b	n/a	-4.59	5.45	1.59
s77_bz	MEGMAG	T	5000	500	0	n/a	0U7YBU	0x9a000000781ceb3b	n/a	-13.19	8.46	-1.33
s14_bz	MEGMAG	T	5000	500	0	n/a	0U7V4K	0x6c000000781bd63b	n/a	-19.39	-6.02	-4.39
s78_bz	MEGMAG	T	5000	500	0	n/a	22O56B	0x9a000000781ceb3b	n/a	21.06	14.52	2.21
s79_bz	MEGMAG	T	5000	500	0	n/a	0U7XKG	0x9a000000781ceb3b	n/a	18.86	-0.51	4.82
s16_bz	MEGMAG	T	5000	500	0	n/a	0U7YBW	0x6c000000781bd63b	n/a	9.97	-6.61	2.38
s80_bz	MEGMAG	T	5000	500	0	n/a	22O560	0x9a000000781ceb3b	n/a	18.04	5.01	-1.16
di32	TRIG	n/a	5000	2500	0	n/a	n/a	0xb300000078213c3b	n/a	n/a	n/a	n/a
s17_bz	MEGMAG	T	5000	500	0	n/a	0U7ZXM	0x00000000781fa33b	n/a	23.49	13.77	3.60
s81_bz	MEGMAG	T	5000	500	0	n/a	0U7XXG	0xdf00000078212d3b	n/a	23.51	-4.02	1.34
s18_bz	MEGMAG	T	5000	500	0	n/a	0U7UUI	0x00000000781fa33b	n/a	-11.17	9.58	-0.54
s82_bz	MEGMAG	T	5000	500	0	n/a	22O4Z3	0xdf00000078212d3b	n/a	20.33	1.81	-3.56
s19_bz	MEGMAG	T	5000	500	0	n/a	0U7Y32	0x00000000781fa33b	n/a	-15.02	8.79	-0.42
s83_bz	MEGMAG	T	5000	500	0	n/a	22O4YV	0xdf00000078212d3b	n/a	17.52	1.12	1.59
s84_bz	MEGMAG	T	5000	500	0	n/a	0U7ZF7	0xdf00000078212d3b	n/a	13.28	-2.86	-0.91
s85_bz	MEGMAG	T	5000	500	0	n/a	0U7XF1	0x45000000781e4b3b	n/a	14.93	8.60	2.84
s22_bz	MEGMAG	T	5000	500	0	n/a	0U7V31	0x330000007821983b	n/a	5.80	-2.97	-4.50
s86_bz	MEGMAG	T	5000	500	0	n/a	22O52I	0x45000000781e4b3b	n/a	10.36	5.33	-4.11
s87_bz	MEGMAG	T	5000	500	0	n/a	22O54X	0x45000000781e4b3b	n/a	9.05	0.03	-4.31
s24_bz	MEGMAG	T	5000	500	0	n/a	0U7ZHJ	0x330000007821983b	n/a	-19.91	4.83	-3.57
s88_bz	MEGMAG	T	5000	500	0	n/a	0U7WD6	0x45000000781e4b3b	n/a	18.07	10.20	0.59
s27_bz	MEGMAG	T	5000	500	0	n/a	0U7YOL	0xff000000781e013b	n/a	-15.20	4.69	1.88
s28_bz	MEGMAG	T	5000	500	0	n/a	0U7XEM	0xff000000781e013b	n/a	-7.15	1.93	-6.33
s36_bz	MEGMAG	T	5000	500	0	n/a	0U7T3R	0x04000000781db73b	n/a	-10.75	-0.25	-10.93
s37_bz	MEGMAG	T	5000	500	0	n/a	0U7XSE	0xa30000007820bd3b	n/a	10.10	5.78	5.32
s41_bz	MEGMAG	T	5000	500	0	n/a	0U7TGS	0xab000000781b903b	n/a	-15.93	7.23	-1.81
s42_bz	MEGMAG	T	5000	500	0	n/a	22O53B	0xab000000781b903b	n/a	2.26	7.67	0.55
s43_bz	MEGMAG	T	5000	500	0	n/a	0U7U72	0xab000000781b903b	n/a	20.54	2.25	7.28
s44_bz	MEGMAG	T	5000	500	0	n/a	0U7U9L	0xab000000781b903b	n/a	16.88	10.15	2.77
s45_bz	MEGMAG	T	5000	500	0	n/a	0U7XNW	0xca00000078200f3b	n/a	19.75	2.92	9.03
s46_bz	MEGMAG	T	5000	500	0	n/a	22O575	0xca00000078200f3b	n/a	14.53	3.34	5.89
s47_bz	MEGMAG	T	5000	500	0	n/a	22O4ZQ	0xca00000078200f3b	n/a	26.53	9.65	10.46
s48_bz	MEGMAG	T	5000	500	0	n/a	0U7XBJ	0xca00000078200f3b	n/a	-21.20	-3.49	-2.97
s50_bz	MEGMAG	T	5000	500	0	n/a	0U7XY4	0xd9000000781d363b	n/a	14.42	5.26	8.82
s51_bz	MEGMAG	T	5000	500	0	n/a	0U7VIB	0xd9000000781d363b	n/a	17.06	6.54	7.57
s52_bz	MEGMAG	T	5000	500	0	n/a	0U7Z77	0xd9000000781d363b	n/a	7.32	4.90	7.19
