,sub-101,sub-102,sub-104,sub-105,sub-106,sub-107,group_mean,group_sem
L01,4.796172486506325e-14,1.2946096168381127e-13,-2.566922137315443e-13,2.898761792126202e-15,-6.026812112891931e-15,-2.537489377042306e-14,-1.7962078545643096e-14,4.82194500770761e-14
L03,4.2814368692184643e-14,-1.0474111676355623e-14,-4.1659877732586206e-14,2.4965826646477586e-14,5.876115297988173e-14,-3.656979349045822e-14,6.306260903190651e-15,1.5681929117742367e-14
L05,5.4203907365015176e-14,-4.26503095082137e-14,3.877916858700854e-14,1.3095077976713752e-14,8.607755338994417e-14,-3.35958504556022e-14,1.9318257892477626e-14,1.8805490699179713e-14
L07,4.9484090399807975e-14,-4.7318450495454115e-14,8.331286780078029e-14,-7.881428705571095e-14,9.241935566592838e-14,-1.8136753433827708e-13,-1.3713993003820918e-14,4.018965971707559e-14
L09,-1.0514613127139595e-14,-9.20242030336896e-14,-4.876043414759926e-13,-2.2028133032059938e-13,-1.6735249714252592e-13,-1.0752884692207288e-13,-1.8088430533700333e-13,6.193979807127617e-14
L11,3.013619869993995e-14,-1.4929591956901074e-13,-7.182352467947103e-14,-2.007414252862179e-13,9.451284605249811e-14,1.177429044488467e-13,-2.991148672223582e-14,4.889929787747187e-14
L13,-1.9551651757283853e-14,-6.13522722385e-14,1.2278795791554892e-13,4.8025815144720245e-14,1.419626821380939e-13,4.3861473796231234e-14,4.5955667499801745e-14,2.9314113815303076e-14
L15,3.8453767505045564e-14,6.30065132484991e-14,-8.537139163743831e-14,8.280034348624518e-14,1.0214395767557005e-13,-1.4982230926718134e-14,3.100849322520057e-14,2.607754449031918e-14
L17,6.893987940707473e-14,-5.74468086337826e-14,7.761379669895012e-14,8.163352545340483e-14,1.248133435433152e-13,-7.990222360666812e-14,3.5941918810382367e-14,3.115935012514302e-14
L18,4.569664140844505e-14,-7.461629487238797e-14,9.697010822526681e-14,-1.7085381151013364e-14,1.230736657915484e-13,-1.098599765998566e-13,1.0696460467000386e-14,3.491288472181259e-14
L20,3.477907827039847e-14,-1.281998330440103e-13,7.799523273767284e-14,-2.281067448132045e-13,1.1964652052115238e-13,-1.7667626500768777e-13,-5.009366855594647e-14,5.432266345909871e-14
L22,-3.0484042261151e-14,-1.5647175770124635e-13,-3.6526777009051595e-14,-4.108362104503616e-13,7.5388972091472e-14,-3.7438670786571406e-15,-9.377894706816595e-14,6.421834568723943e-14
L24,-9.126053974494569e-14,-1.4444138567981472e-13,1.0814324110780455e-13,-1.2539020951691075e-14,1.163130945678246e-13,8.632898614316073e-14,1.0424062573723066e-14,4.128944275497064e-14
L26,8.972565214649018e-14,1.3750010064618386e-13,-1.1948884831804538e-14,2.0898496763800185e-13,1.3621029881401238e-13,3.0420741702148365e-14,9.848214601917203e-14,2.9842517859807897e-14
L28,6.044027930239193e-14,-2.381607657070179e-14,9.35078431070024e-14,1.5720875347383642e-13,1.745797756074923e-13,-9.764662627502057e-14,6.071232477416677e-14,3.9290790960141173e-14
L30,2.015817645784575e-14,-1.6678193307664542e-13,1.1891407469122098e-13,-1.2874383475087494e-13,1.4812557740856798e-13,-2.252195394414394e-13,-3.8924579785220844e-14,5.833628268377756e-14
L31,-1.0807731098067747e-15,-2.1274807414458031e-13,1.3804952675032824e-13,-3.354996506052382e-13,1.5627523067335095e-13,-3.904768159624656e-13,-1.0758009273306863e-13,8.887160400238301e-14
L33,-2.6433285367430364e-13,-3.702858452806063e-13,-2.0688146800067934e-15,-4.549227658509218e-13,6.138652886459111e-14,-1.55876063840068e-13,-1.9768330241021925e-13,7.592686402860576e-14
L37,9.602743897988279e-14,-4.056461614466318e-14,1.7913325953307024e-13,3.7792115640795886e-13,2.268155240227615e-13,9.17813825173074e-15,1.4141848350845684e-13,5.708528647368289e-14
L38,7.556218614600392e-14,-1.8692081226649196e-13,2.0147559047219832e-13,1.4273836898075772e-13,2.256722046116352e-13,-3.4723488354585404e-13,1.8548775733041518e-14,8.677098775370765e-14
